id,Target_Index,bleu_bestmbr,chrf_bestmbr,comet_bestmbr,eTranslation,HuaweiTSC,JDExploreAcademy,Lan-Bridge,M2M100_1.2B-B4,Online-A,Online-B,Online-G,Online-W,Online-Y,PROMT,QUARTZ_TuneReranking,refA,SRPOL
60,1882,"Я даже не знаю, с чего начать.","Я даже не знаю, с чего начать здесь.","Я даже не знаю, с чего здесь начать.","Я даже не знаю, с чего начать.","Я даже не знаю, с чего начать здесь.","Даже не знаю, с чего начать.","Я даже не знаю, с чего начать здесь.","Я даже не знаю, с чего начать здесь.","Я даже не знаю, с чего здесь начать.","Я даже не знаю, с чего начать.","Я даже не знаю, с чего здесь начать.","Я даже не знаю, с чего начать.","Я даже не знаю, с чего начать.","Даже не знаю, с чего тут начать.","Я даже не знаю, с чего здесь начинать.","Я даже не знаю, с чего тут начать.","Я даже не знаю, с чего здесь начать."
61,287,2) Нажмите значок «Еще» в правом нижнем углу экрана.,2) Нажмите значок «Дополнительно» в правом нижнем углу экрана.,2) Нажмите на значок «Дополнительно» в правом нижнем углу экрана.,2) Нажмите на значок Больше в правом нижнем углу экрана.,2)Нажмите значок More в правом нижнем углу экрана.,"2) Нажмите на иконку ""Еще"" в правом нижнем углу экрана.",2) Коснитесь значка <unk>Еще<unk> в правом нижнем углу экрана.,2) Нажмите на иконку Больше в правом нижнем углу экрана.,2) Нажмите значок «Еще» в правом нижнем углу экрана.,2) Коснитесь значка «Еще» в правом нижнем углу экрана.,"2) Нажмите на значок ""Дополнительно"" в правом нижнем углу экрана.","2)Нажмите значок ""Еще"" в правом нижнем углу экрана.",2) Нажмите значок «Еще» в правом нижнем углу экрана.,2) Нажмите на иконку More в правом нижнем углу экрана.,"2) Нажмите значок ""Больше"" в правом нижнем углу экрана.",2) Нажмите значок «Подробнее» в нижней части экрана.,"2) Нажмите на значок ""Еще"" в правом нижнем углу экрана."
62,354,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,"Ожидается, что оплата будет произведена в течение 5 рабочих дней.",Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата ожидается в течение 5 рабочих дней.,Оплата Оплата ожидается в течение 5 рабочих дней.,Оплата ожидается в течение 5 рабочих дней.
63,1117,"Затем меня осенило, и я попробовал межзубные ершики, и они работают...","Потом у меня было откровение, и я попробовала межзубные ершики, и они работают...","Потом ко мне пришло откровение – я попробовала межзубные щетки, и они работают...","Потом у меня было откровение, и я попробовал межзубные кисти, и они работают...","Затем у меня было откровение, и я попробовал межзубные щетки, и они работают...","Тогда у меня было откровение, и я попробовала межзубные щетки, и они работают...","Потом у меня было откровение, и я попробовал межзубные ершики, и они работают...","Тогда у меня было откровение и я попробовал межзубные щетки, и они работают...","Потом у меня было откровение, и я попробовал межзубные кисти, и они работают...","Потом у меня было откровение, и я попробовала межзубные ершики, и они работают...","Потом на меня снизошло откровение, и я попробовала межзубные щетки, и они работают...","Затем меня посетило откровение, и я попробовал межзубные щетки, и они работают...","Потом у меня появилось откровение, и я попробовала межзубные щетки, и они работают...","Потом у меня было откровение и я попробовал межзубные кисти, и они работают...","Потом у меня было откровение, я попробовал зубную щетку, и она работает...",Затем меня осенило и я попробовал межзубные ершики и они подошли...,"Потом у меня было откровение, и я попробовал межзубные щетки, и они работают..."
64,271,"Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время.","Если у вас много книг, это может занять некоторое время."
65,1452,"Подождите, пока появится экран восстановления.","Подождите, пока появится экран восстановления.","Подождите, пока появится экран восстановления.",Дождитесь появления экрана Восстановление.,Дождитесь появления экрана Restore.,Дождитесь появления экрана Восстановления.,Дождитесь появления экрана восстановления.,"Подождите, пока появится экран восстановления.",Дождитесь появления экрана Восстановление.,"Подождите, пока появится экран восстановления.",Дождитесь появления экрана восстановления.,"Дождитесь появления экрана ""Восстановление"".",Дождитесь появления экрана «Восстановление».,Дождитесь появления экрана восстановления.,"Подождите, пока не появится экран восстановления.",Дождитесь появления экрана «Восстановление».,"Подождите, пока появится экран Restore."
66,1584,"Зарплаты особо не выросли, но дерьмо стало дешевле.","Зарплата на самом деле не выросла, но дерьмо подешевело.","Зарплаты на самом деле не поднялись, но дерьмо стало дешевле.","Зарплаты на самом деле не выросли, но дерьмо стало дешевле.","Зарплаты действительно не выросли, но дерьмо подешевело.","Зарплаты на самом деле не выросли, но дерьмо подешевело.","Зарплата на самом деле не выросла, но дерьмо подешевело.","Зарплаты на самом деле не поднялись, но дерьмо стало дешевле.","Заработная плата на самом деле не выросла, но дерьмо стало дешевле.","Зарплата на самом деле не выросла, но дерьмо подешевело.","Заработная плата на самом деле не выросла, но дерьмо стало дешевле.","На самом деле зарплаты не выросли, но дерьмо стало дешевле.","Заработная плата на самом деле не выросла, но все подешевело.","Зарплаты особо не повышались, а дерьмо дешевело.","Зарплаты не сильно выросли, но дерьмо подешевело.","Зарплаты, конечно, не повышаются, зато всякий хлам становится дешевле.","Зарплаты на самом деле не выросли, но дерьмо подешевело."
67,857,"Вернитесь на главный экран, нажмите «Книги» или «Аудиокниги» и посмотрите, появится ли отсутствующий элемент.","Вернитесь на главный экран, коснитесь «Книги» или «Аудиокниги» и посмотрите, появляется ли отсутствующий элемент.","Вернитесь на главный экран, нажмите «Книги» или «Аудиокниги» и посмотрите, появился ли отсутствующий элемент.","Вернитесь на главный экран, коснитесь Книги или Аудиокниги и проверьте, отображается ли недостающий элемент.","Вернитесь к главному экрану и нажмите Книжки или Аудиокниги и посмотрите, появится ли отсутствующий элемент.","Вернитесь на домашний экран, нажмите ""Книги"" или ""Аудиокниги"" и посмотрите, появится ли недостающий элемент.","Вернитесь на главный экран, коснитесь <unk>Книги<unk> или <unk>Аудиокниги<unk> и посмотрите, появится ли отсутствующий элемент.","Вернитесь на начальный экран, нажмите «Книги» или «Аудиокниги» и посмотрите, появляется ли отсутствующий элемент.","Вернитесь на главный экран, нажмите Книги или Аудиокниги и проверьте, отображается ли отсутствующий элемент.","Вернитесь на главный экран, коснитесь «Книги» или «Аудиокниги» и посмотрите, появится ли отсутствующий элемент.","Вернитесь на начальный экран, коснитесь Книги или аудиокниги и посмотрите, появится ли отсутствующий элемент.","Вернитесь на главный экран, нажмите Книги или Аудиокниги и посмотрите, появится ли пропавший элемент.","Вернитесь на главный экран, нажмите «Книги» или «Аудиокниги» и посмотрите, не появится ли отсутствующий элемент.","Вернитесь на главный экран и коснитесь элемента Книги или Аудиокниги, чтобы проверить, отображается ли отсутствующий элемент.","Вернитесь на домашний экран и нажимайте кнопки ""Книги"" или ""Книжки"", чтобы проверить, появился ли недостающий предмет.","Перейдите на главный экран, нажмите «Книги» или «Аудиокниги» и проверьте, появился ли пропавший файл.","Вернитесь к главному экрану и нажмите Книги или Аудиокниги и посмотрите, появляется ли отсутствующий элемент."
68,1422,Из какой страны доставляете?,Из какой страны вы доставляете?,Из какой страны вы доставляете товары?,Из какой страны вы доставляете?,Из какой страны вы доставляете?,Из какой страны вы осуществляете доставку?,Из какой страны доставляете?,Из какой страны вы доставляете?,Из какой страны вы осуществляете доставку?,Из какой страны доставляете?,Из какой страны вы осуществляете доставку?,Из какой страны вы осуществляете доставку?,Из какой страны вы осуществляете доставку?,Из какой страны доставляете?,Из какой страны вы доставляете товары?,Из какой страны Вы выполняете доставку?,Из какой страны вы доставляете?
69,1722,"Я поделюсь парой шагов, которые нужно выполнить в вашей электронной книге, хорошо?","Я поделюсь парой шагов, которые нужно выполнить в вашей электронной читалке, хорошо?","Я поделюсь парой шагов, которые можно выполнить при помощи вашей электронной книги, хорошо?","Я поделюсь парой шагов, чтобы выполнить в вашем eReader, ладно?","Я поделюсь парой шагов для выполнения в вашем eReader, хорошо?","Я поделюсь парой шагов для выполнения в вашем eReader, хорошо?","Я поделюсь парой шагов, которые нужно выполнить в вашей электронной читалке, хорошо?","Я поделился несколькими шагами, чтобы выполнить в вашем eReader, хорошо?","Я поделюсь парой шагов, чтобы выполнить работу в вашем eReader, хорошо?","Я поделюсь парой шагов, которые нужно выполнить в вашей электронной читалке, хорошо?","Я поделюсь парой шагов, которые нужно выполнить в вашей читалке, хорошо?","Я поделюсь с вами несколькими шагами, которые нужно выполнить в вашем eReader, хорошо?","Я поделюсь парой шагов, которые нужно выполнить в вашей электронной книге, хорошо?","Я поделюсь парой шагов, чтобы выполнить их в вашем eReader, хорошо?","Я поделюсь парой шагов для выполнения в вашем eReader, ладно?","Я поделюсь с вами парой действий, которые следует выполнить на вашей электронной книге, хорошо?","Я поделюсь парой шагов, чтобы выполнить в вашем eReader, хорошо?"
70,1825,"Очередь за дверью, и они делали перерывы и болтали о случайных вещах, не связанных с работой, как будто нас здесь и не было.","Очередь за дверью, и они делали перерывы и болтали о случайных вещах, не связанных с работой, как будто нас здесь и не было.","Очередь за дверью – и они делали перерывы и болтали о всевозможных вещах, не связанных с работой, словно нас тут вообще не было.","Линия из двери, и они делали перерывы и говорили о случайных не связанных с работой вещи, как мы не были даже здесь.","Линия из двери, и они делали перерывы и говорили о случайных вещах, не связанных с работой, как мы не были даже здесь.","Очередь за дверью, и они делали перерывы и говорили о случайных вещах, не связанных с работой, как будто мы даже не были здесь.","Очередь за дверью, и они делали перерывы и говорили о случайных вещах, не связанных с работой, как будто нас здесь даже не было.","Линия вышла из двери, и они делали перерывы и говорили о случайных вещах, связанных с неработой, как будто мы даже здесь не были.","Очередь за дверью, и они делали перерывы и говорили о случайных вещах, не связанных с работой, как будто нас даже не было здесь.","Очередь за дверью, и они делали перерывы и говорили о случайных вещах, не связанных с работой, как будто нас здесь даже не было.","Очередь за дверью, и они делали перерывы и говорили о случайных вещах, не связанных с работой, как будто нас здесь вообще не было.","Очередь за дверью, а они делали перерывы и говорили о случайных вещах, не связанных с работой, как будто нас здесь и не было.","Очередь за дверью, и они делали перерывы и говорили о случайных вещах, не связанных с работой, как будто нас здесь даже не было.","Очередь за дверь, и они делали перерывы и говорили о случайных не связанных с работой вещах, таких как мы даже не были здесь.","Выстроилась очередь за дверью, они делали перерывы и обсуждали случайные, не связанные с работой вещи, как будто нас даже здесь не было.","Очередь выходила за двери, а они отдыхали и разговаривали о случайных вещах, не связанных с работой, как будто нас там вообще не было.","Очередь за дверью, и они делали перерывы и говорили о случайных вещах, не связанных с работой, как мы даже не были здесь."
71,1190,"Мне нужно знать, показывает ли книга сообщение об ошибке, кажется ли она заблокированной или даже не отображается в вашей учетной записи #PRS_ORG# в электронной читалке #PRS_ORG#.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется ли она заблокированной или вообще не отображается в вашей учетной записи #PRS_ORG# в вашей электронной читалке #PRS_ORG#.","Мне необходимо знать, показывает ли книга сообщение об ошибке, выглядит ли как заблокированная или вообще не появляется в вашей учетной записи #PRS_ORG# внутри вашей электронной читалки #PRS_ORG#.","Мне нужно знать, если книга показывает сообщение об ошибке, кажутся заблокированными или даже не появляются в вашей учетной записи «PRS-ORG» внутри вашего «PRS-ORG» e читатель.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется заблокированным или даже не появляется в вашей учетной записи #PRS_ORG# внутри вашего электронного читателя #PRS_ORG#.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется заблокированной или даже не появляется в вашей учетной записи #PRS_ORG# в вашем электронном ридере #PRS_ORG#.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется ли она заблокированной или даже не появляется в вашей учетной записи #PRS_ORG# в вашей электронной читалке #PRS_ORG#.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется заблокированной или даже не появляется в вашей учетной записи #PRS_ORG# в вашем #PRS_ORG# e-reader.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется ли она заблокированной или даже не появляется в вашей учетной записи #PRS_ORG# внутри вашего электронного ридера #PRS_ORG#.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется ли она заблокированной или даже не появляется в вашей учетной записи #PRS_ORG# в вашей электронной читалке #PRS_ORG#.","Мне нужно было бы знать, показывает ли книга сообщение об ошибке, кажется ли она заблокированной или даже не отображается в вашей учетной записи #PRS_ORG # внутри вашего электронного ридера #PRS_ORG#.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется заблокированной или даже не появляется в вашей учетной записи #PRS_ORG# в вашей электронной читалке #PRS_ORG#.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется ли она заблокированной или даже не появляется в вашей учетной записи #PRS_ORG # внутри вашей программы чтения #PRS_ORG # e.","Мне нужно знать, показывает ли книга сообщение об ошибке, кажется заблокированной или даже не появляется в вашей учетной записи #PRS_ORG# в вашем читателе #PRS_ORG# e.","Мне бы хотелось знать, если в книге отображается сообщение об ошибке, она кажется заблокированной или даже не появляется в вашей # PRS _ ORG # учетной записи внутри вашей # PRS _ ORG # электронной читалки.","Мне понадобится узнать, покажет ли книга сообщение об ошибке, заблокируется или даже не появится в учетной записи #PRS_ORG# на вашей электронной книге #PRS_ORG#.","Мне нужно знать, если книга показывает сообщение об ошибке, кажется заблокированным или даже не отображается в вашей учетной записи #PRS_ORG# внутри вашего читателя #PRS_ORG# e."
72,1236,"Я думал, что уже доставили.","Я думал, что уже доставили.",Я думал его уже доставили,"Я думал, что он уже доставлен.","Я думал, что он уже доставлен.","Я думал, что он уже доставлен.","Я думал, что он уже доставлен.","Я думал, что он уже доставлен.","Я думал, что он уже доставлен.","Я думал, что его уже доставили.","Я думал, что оно уже доставлено.","Я думал, что он уже доставлен.","Я думала, что она уже доставлена.","Думал, уже завезено.","Я думал, что это уже сделано.","Мне казалось, он уже доставлен.","Я думал, что он уже доставлен."
73,898,"Я закрою этот чат, так как ответа не получил.","Я закрою этот чат сейчас, так как ответа не получил.","Сейчас я закрою этот чат, так как я пока не получил никакого ответа.","Я закрою этот чат сейчас, так как никакого ответа не было получено.","Сейчас я закрою этот чат, так как ответа не поступило.","Я сейчас закрою этот чат, так как ответа не поступило.","Я закрою этот чат сейчас, так как не получил ответа.","Я закрою этот чат, так как ответа не было получено.","Я закрою этот чат сейчас, так как ответа не было получено.","Я закрою этот чат сейчас, так как не получил ответа.","Сейчас я закрою этот чат, так как ответа получено не было.","Я закрою этот чат сейчас, так как ответ не был получен.","Я сейчас закрою этот чат, так как ответа не получено.","Я закрою этот чат сейчас, так как ответ не получен.","Я закрою этот чат сейчас, поскольку никакого ответа не было получено.","Я сейчас закрою этот диалог, если больше не поступит ответа.","Я закрою этот чат сейчас, так как не было получено никакого ответа."
74,1580,"Я думаю, что коробки для еды - безумное предложение.","Я думаю, что коробки для еды - безумное предложение.","Я думаю, коробки с едой - безумное предложение!","Я думаю, что коробки для еды - это безумное предложение.","Я думаю, что коробки с едой - это безумное предложение.","Я думаю, что коробки с едой - безумное предложение.","Я думаю, что коробки для еды — это безумное предложение.","Я думаю, что коробки с едой — это сумасшедшее предложение.","Я думаю, что коробки с едой - это безумное предложение.","Я думаю, коробки для еды - безумное предложение.","Я думаю, что коробки с едой - это безумное предложение.","Я думаю, что коробки с едой - это безумное предложение.","Я думаю, что коробки с едой — безумное предложение.","Я думаю, что коробки с едой - безумное предложение.","Я думаю, что ящики для еды - непродуманное предложение.","Думаю, контейнеры для еды — безумное предложение.","Я думаю, что коробки с едой - это безумное предложение."
75,929,"Если у вас есть какие-либо вопросы или проблемы, свяжитесь с нами через систему сообщений eBay или нажмите на вкладку «Спросить продавца» под каждым списком.","Если у вас есть какие-либо вопросы или проблемы, не стесняйтесь обращаться к нам через систему сообщений eBay или нажмите на вкладку «Спросить продавца» под каждым списком.","Если у вас возникли какие-либо вопросы или проблемы, обращайтесь к нам через систему сообщений eBay или нажмите на вкладку «Спросить продавца» под каждым объявлением.","Если у вас есть какие-либо вопросы или проблемы, то не стесняйтесь связаться с нами через систему сообщений eBay, или нажмите на вкладку «Спросить продавца» под каждым объявлением.","Если у вас есть какой-либо запрос или проблема, то не стесняйтесь связаться с нами через систему сообщений eBay или нажмите на вкладку ""Спросите продавца"" под каждым списком.","Если у вас есть какие-либо вопросы или проблемы, то не стесняйтесь обращаться к нам через систему сообщений eBay, или нажмите на вкладку ""Спросить продавца"" под каждым объявлением.","Если у вас есть какие-либо вопросы или проблемы, не стесняйтесь обращаться к нам через систему сообщений eBay или нажмите на вкладку <unk>Спросить продавца<unk> под каждым списком.","Если у вас есть какие-либо вопросы или проблемы, то не стесняйтесь связаться с нами через систему сообщений eBay, или нажмите на вкладку ""Спроси продавца"" ниже каждого списка.","Если у вас есть какие-либо вопросы или проблемы, не стесняйтесь обращаться к нам через систему сообщений eBay или нажмите на вкладку «Спросить продавца» под каждым объявлением.","Если у вас есть какие-либо вопросы или проблемы, не стесняйтесь обращаться к нам через систему сообщений eBay или нажмите на вкладку «Спросить продавца» под каждым списком.","Если у вас есть какие-либо вопросы или проблемы, не стесняйтесь обращаться к нам через систему сообщений eBay или нажмите на вкладку ""Спросить продавца"" под каждым объявлением.","Если у вас есть какие-либо вопросы или проблемы, то не стесняйтесь связаться с нами через систему сообщений eBay, или нажмите на вкладку ""Спросить продавца"" под каждым списком.","Если у вас есть какие-либо вопросы или проблемы, свяжитесь с нами через систему сообщений eBay или нажмите вкладку «Спросите продавца» под каждым объявлением.","Если у вас возникли какие-либо вопросы или проблемы, свяжитесь с нами через систему сообщений eBay или нажмите вкладку «Задать вопрос продавцу» под каждым объявлением о товаре.","Если у вас возникли какие-либо вопросы или проблемы, свяжитесь с нами через систему сообщений eBay или кликните на вкладку ""Задать вопрос продавцу"" под каждым списком.","Если у вас есть вопрос или проблема, не стесняйтесь обращаться к нам через систему сообщений eBay или нажмите вкладку «Спросить продавца» под каждым списком.","Если у вас есть какие-либо запросы или проблемы, то не стесняйтесь связаться с нами через систему сообщений eBay, или нажмите на вкладку ""Спросите продавца"" под каждым листингом."
76,686,"Угадайте, где пали Никсон и Картер, и его золотой мальчик Рейган не мог причинить вреда.","Угадайте, где пали Никсон и Картер, и его золотой мальчик Рейган не мог причинить вреда.","Угадайте, где погибли Никсон и Картер, а его золотой сын Рейган не смог сделать ничего плохого.","Угадайте, где упали Никсон и Картер, и его золотой мальчик Рейган не мог сделать ничего плохого.","Угадайте, где упали Никсон и Картер, а его золотой мальчик Рейган не мог сделать никаких бед.","Угадайте, где упали Никсон и Картер, и его золотой мальчик Рейган не мог сделать ничего плохого.","Угадайте, где пали Никсон и Картер, и его золотой мальчик Рейган не мог причинить вреда.","Угадайте, где упали Никсон и Картер, а его золотой мальчик Рейган не мог причинить никакого вреда.","Угадайте, где упали Никсон и Картер, и его золотой мальчик Рейган не мог сделать ничего плохого.","Угадайте, где пали Никсон и Картер, и его золотой мальчик Рейган не мог причинить вреда.","Угадайте, где пали Никсон и Картер, а его золотой мальчик Рейган не мог причинить вреда.","Угадайте, куда попали Никсон и Картер, а его золотой мальчик Рейган не смог сделать ничего плохого.","Угадайте, где упали Никсон и Картер, а его золотой мальчик Рейган не мог сделать ничего плохого.","Угадайте, куда упали Никсон и Картер, а его золотой мальчик Рейган не смог бы сделать никаких бед.","Угадайте, куда пали Никсон и Картер, а его золотой мальчик Рейган ничего плохого сделать не мог.","Угадайте, в чем ошибка Никсона и Картера и почему этот самородок Рейган не мог сделать ничего плохого.","Угадайте, где упали Никсон и Картер, и его золотой мальчик Рейган не мог сделать ничего плохого."
77,194,2) Деавторизовать #PRS_ORG#,2) Деавторизовать #PRS_ORG#.,2) Деавторизовать #PRS_ORG#,2) Отказаться от авторизации «PRS'ORG»,2) Деавторизовать #PRS_ORG#,2) Отменить авторизацию #PRS_ORG#,2) Деавторизовать #PRS_ORG#,Отключить разрешение #PRS_ORG#,2) Лишение права на #PRS_ORG #,2) Деавторизовать #PRS_ORG#,2) Отменить авторизацию #PRS_ORG#,2) Деавторизация #PRS_ORG#,2) Отмена авторизации #PRS_ORG #,2) Отмена утверждения #PRS_ORG#,2) De-authorize # PRS _ ORG #,2) Выйдите из учетной записи #PRS_ORG#,2) Снять авторизацию #PRS_ORG#
78,139,Благодарим за обращение к #PRS_ORG#. Мне было очень приятно помочь вам сегодня.,Благодарим вас за обращение к #PRS_ORG#. Мне было очень приятно помочь вам сегодня.,Благодарим вас за обращение к #PRS_ORG#. Мы были рады помочь вам сегодня.,"Спасибо за то, что связались с «PRS'ORG», я был рад помочь вам сегодня.","Спасибо, что связались с #PRS_ORG#, мне было приятно помочь вам сегодня.","Спасибо, что связались с #PRS_ORG#, мне было приятно помочь вам сегодня.","Спасибо, что связались с #PRS_ORG#, мне было очень приятно помочь вам сегодня.","Спасибо за контакт с #PRS_ORG#, мне было приятно помочь вам сегодня.","Спасибо, что связались с #PRS_ORG#, я был рад помочь вам сегодня.","Спасибо, что связались с #PRS_ORG#, я был рад помочь вам сегодня.","Спасибо, что связались с #PRS_ORG#, мне было приятно помочь вам сегодня.","Спасибо за обращение в #PRS_ORG#, мне было приятно помочь вам сегодня.","Спасибо, что связались с #PRS_ORG #, я с удовольствием помог вам сегодня.","Спасибо, что связались с #PRS_ORG#, я был рад помочь вам сегодня.","Спасибо, что обратились к # PRS _ ORG #, мне было очень приятно помочь вам сегодня.","Спасибо за обращение в #PRS_ORG#, мне было приятно помочь вам сегодня.","Спасибо, что связались с #PRS_ORG#, я был рад помочь вам сегодня."
79,249,Norton Security Deluxe предоставляет простое представление сведений о состоянии защиты вашего устройства.,Norton Security Deluxe предоставляет простое представление с подробным описанием состояния защиты вашего устройства.,Norton Security Deluxe обеспечивает простое представление информации о статусе защиты вашего устройства.,Norton Security Deluxe предоставляет простой вид с подробным описанием состояния защиты вашего устройства.,Norton Security Deluxe предоставляет простое представление с подробным описанием состояния защиты вашего устройства.,Norton Security Deluxe предоставляет простой просмотр с подробным описанием статуса защиты вашего устройства.,Norton Security Deluxe предоставляет простое представление с подробным описанием состояния защиты вашего устройства.,"Norton Security Deluxe предоставляет простое представление, в котором подробно описывается состояние защиты вашего устройства.",Norton Security Deluxe предоставляет простое представление с подробным описанием состояния защиты устройства.,Norton Security Deluxe предоставляет простое представление с подробным описанием состояния защиты вашего устройства.,Norton Security Deluxe предоставляет простое представление с подробным описанием состояния защиты вашего устройства.,Norton Security Deluxe предоставляет простой обзор состояния защиты вашего устройства.,Norton Security Deluxe предоставляет простой вид с подробным описанием состояния защиты вашего устройства.,Norton Security Deluxe предоставляет простой обзор состояния защиты устройства.,NDS Security Deluxe предоставляет простое представление о статусе защиты устройства.,Norton Security Deluxe предлагает простое представление с подробным статусом состояния защиты на вашем устройстве.,"Norton Security Deluxe предоставляет простое представление, подробно описывающее состояние защиты вашего устройства."
